"","tail_num","sum_airtime","num_flights","airline","total_delay","n_delays","avg_airtime","avg_delay","pct_delay","Top25pct_AA","Top25pct_BA","Bottom25pct_AA","Bottom25pct_BA"
"125",N375DN,37541,270,BA,1407,84,139.040740740741,5.21111111111111,0.311111111111111,FALSE,TRUE,FALSE,FALSE
"442",N876DN,37539,203,BA,-722,50,184.92118226601,-3.55665024630542,0.246305418719212,FALSE,TRUE,FALSE,FALSE
"521",N540UW,37539,223,AA,1812,88,168.336322869955,8.12556053811659,0.394618834080717,TRUE,FALSE,FALSE,FALSE
"978",N895DN,37525,199,BA,-676,54,188.56783919598,-3.39698492462312,0.271356783919598,FALSE,TRUE,FALSE,FALSE
"722",N711ZX,37523,123,BA,924,43,305.065040650407,7.51219512195122,0.349593495934959,FALSE,TRUE,FALSE,FALSE
"117",N977UY,37522,241,AA,2355,96,155.692946058091,9.77178423236515,0.398340248962656,TRUE,FALSE,FALSE,FALSE
"257",N349DX,37492,268,BA,1666,99,139.89552238806,6.21641791044776,0.369402985074627,FALSE,TRUE,FALSE,FALSE
"766",N367DN,37484,264,BA,2226,95,141.984848484848,8.43181818181818,0.359848484848485,FALSE,TRUE,FALSE,FALSE
"1",N926DZ,37463,243,BA,-1104,57,154.168724279835,-4.54320987654321,0.234567901234568,FALSE,TRUE,FALSE,FALSE
"1329",N584UW,37420,237,AA,1700,87,157.89029535865,7.17299578059072,0.367088607594937,TRUE,FALSE,FALSE,FALSE
"909",N886DN,37406,197,BA,-1422,44,189.878172588832,-7.21827411167513,0.223350253807107,FALSE,TRUE,FALSE,FALSE
"1123",N920DU,37383,229,BA,-782,64,163.244541484716,-3.41484716157205,0.279475982532751,FALSE,TRUE,FALSE,FALSE
"1457",N906DN,37377,211,BA,-556,55,177.142180094787,-2.63507109004739,0.260663507109005,FALSE,TRUE,FALSE,FALSE
"840",N538UW,37323,222,AA,1722,86,168.121621621622,7.75675675675676,0.387387387387387,TRUE,FALSE,FALSE,FALSE
